# date,hostname,DBconnections,HTTPrequests
2024-06-08 14:00:01,pablolaptop.pegaso.lan,24,440
2024-06-08 14:10:01,pablolaptop.pegaso.lan,29,440
2024-06-08 14:20:02,pablolaptop.pegaso.lan,20,440
2024-06-08 14:30:03,pablolaptop.pegaso.lan,15,430
2024-06-08 14:40:03,pablolaptop.pegaso.lan,29,440
2024-06-08 14:50:04,pablolaptop.pegaso.lan,30,450
2024-06-08 15:00:04,pablolaptop.pegaso.lan,36,450
2024-06-08 15:10:05,pablolaptop.pegaso.lan,35,450
2024-06-08 15:20:06,pablolaptop.pegaso.lan,42,460
2024-06-08 15:30:06,pablolaptop.pegaso.lan,47,460
2024-06-08 15:40:07,pablolaptop.pegaso.lan,44,460
2024-06-08 15:50:07,pablolaptop.pegaso.lan,37,440
2024-06-08 16:00:08,pablolaptop.pegaso.lan,32,442
2024-06-08 16:10:09,pablolaptop.pegaso.lan,37,440
2024-06-08 16:20:09,pablolaptop.pegaso.lan,36,440
2024-06-08 16:30:00,pablolaptop.pegaso.lan,35,440
2024-06-08 16:40:00,pablolaptop.pegaso.lan,34,440
2024-06-08 16:50:01,pablolaptop.pegaso.lan,42,450
2024-06-08 17:00:02,pablolaptop.pegaso.lan,96,490
2024-06-08 17:10:01,pablolaptop.pegaso.lan,155,781
2024-06-08 17:20:03,pablolaptop.pegaso.lan,187,790
2024-06-08 17:30:04,pablolaptop.pegaso.lan,0,1000
2024-06-08 17:40:04,pablolaptop.pegaso.lan,100,800
2024-06-08 17:50:05,pablolaptop.pegaso.lan,98,760
2024-06-08 18:00:05,pablolaptop.pegaso.lan,40,650
2024-06-08 18:10:06,pablolaptop.pegaso.lan,38,440
2024-06-08 18:20:07,pablolaptop.pegaso.lan,32,440
2024-06-08 18:30:07,pablolaptop.pegaso.lan,36,440
2024-06-08 18:40:08,pablolaptop.pegaso.lan,34,440
2024-06-08 18:50:08,pablolaptop.pegaso.lan,42,450
2024-06-08 19:00:09,pablolaptop.pegaso.lan,41,455
2024-06-08 19:10:00,pablolaptop.pegaso.lan,45,450
2024-06-08 19:20:00,pablolaptop.pegaso.lan,32,440
2024-06-08 19:30:01,pablolaptop.pegaso.lan,36,440
2024-06-08 19:40:01,pablolaptop.pegaso.lan,38,440
2024-06-08 20:00:03,pablolaptop.pegaso.lan,47,450
2024-06-08 20:10:00,pablolaptop.pegaso.lan,43,450
2024-06-08 20:20:49,pablolaptop.pegaso.lan,41,450
2024-06-08 20:30:49,pablolaptop.pegaso.lan,43,450
2024-06-08 20:40:49,pablolaptop.pegaso.lan,36,440
2024-06-08 20:50:49,pablolaptop.pegaso.lan,31,440
2024-06-08 21:00:49,pablolaptop.pegaso.lan,30,440
