# hostname;interval;timestamp;rtps;bread
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;0.06;2.18
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;0.04;1.44
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;0.02;0.21
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;0.01;0.24
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;0.01;0.59
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;0.1;7.79
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;2.73;215.95
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;1.3;52.69
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;3.57;263.63
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;0.69;6.43
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;0.06;0.99
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;0.01;0.19
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;0.0;0.05
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;0.02;1.07
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;7.32;275.3
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;32.15;888.88
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;42.13;867.25
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;2.24;238.76
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;0.59;57.22
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;2.09;61.01
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;0.02;0.43
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;23.18;592.73
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;0.12;5.05
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;0.0;0.05
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;0.0;0.11
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;0.01;0.13
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;0.0;0.07
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;0.01;0.2
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;0.05;2.46
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;0.17;21.96
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;0.01;0.23
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;0.78;44.74
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;0.05;2.8
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;0.03;0.75
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;0.21;15.49
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;5.49;378.44
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;13.85;466.55
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;0.84;12.2
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;2.08;184.76
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;2.51;71.89
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;0.32;8.21
