# hostname;interval;timestamp;wtps;bwrtn
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;11.79;571.14
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;13.52;776.77
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;11.08;646.23
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;10.49;611.14
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;13.67;774.97
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;14.5;613.92
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;8.99;490.54
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;20.72;768.72
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;13.55;674.26
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;12.56;647.79
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;15.16;808.83
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;10.23;564.91
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;6.99;451.75
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;10.9;624.07
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;43.83;8022.59
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;25.72;1395.78
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;17.49;2542.36
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;15.86;699.18
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;19.66;860.06
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;19.33;989.4
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;12.16;585.59
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;11.04;651.91
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;10.51;682.18
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;11.42;635.55
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;11.53;713.56
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;11.55;695.09
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;11.63;612.42
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;14.2;701.14
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;18.49;799.59
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;15.55;693.46
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;20.44;2053.74
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;11.85;1170.48
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;11.43;583.55
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;9.14;489.94
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;13.74;754.05
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;12.2;655.16
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;40.71;1405.31
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;20.28;705.13
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;12.09;579.98
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;22.9;835.7
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;13.91;710.06
