# hostname;interval;timestamp;dentunusd;file-nr;inode-nr;pty-nr
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;230368;14400;171895;5
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;230516;14176;171754;5
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;230699;14240;171906;5
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;230966;14464;172195;5
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;231299;14464;172488;5
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;231661;14368;172648;5
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;233755;14560;173895;5
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;238117;15040;175818;5
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;239016;15264;176634;5
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;239120;15040;176090;5
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;239648;14880;176274;5
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;239739;14848;176166;5
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;239822;14784;176195;5
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;240021;14912;176233;5
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;273985;15808;208697;6
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;321706;15200;255736;5
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;341018;15296;274704;5
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;341734;15200;274971;5
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;347928;14912;275121;5
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;352207;14624;277797;5
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;352648;14784;277736;5
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;353052;14624;277867;5
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;353369;14560;277891;5
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;353824;14656;278293;5
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;354035;14656;278341;5
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;354233;14560;278308;5
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;354300;14528;278124;5
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;354646;14592;278251;5
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;355452;14720;278539;5
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;356425;14912;279314;4
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;357282;14976;279699;3
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;357719;15040;280022;3
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;358068;15072;280211;3
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;358194;14976;280076;3
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;358749;15008;280306;5
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;90017;12032;60598;3
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;99745;12256;63289;2
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;101878;12320;64116;2
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;106018;12160;64982;2
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;109229;12448;66977;2
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;109196;12096;66211;2
