# hostname;interval;timestamp;totsck;tcpsck;udpsck;rawsck;ip-frag;tcp-tw
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;1404;33;28;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;1364;27;23;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;1370;23;24;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;1391;26;24;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;1401;31;25;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;1412;50;27;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;1392;27;25;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;1469;28;29;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;1507;26;33;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;1473;30;29;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;1450;28;29;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;1440;26;27;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;1438;24;27;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;1428;24;28;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;1558;35;31;0;0;0
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;1485;38;27;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;1504;45;32;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;1480;30;27;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;1431;33;27;0;0;2
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;1381;23;28;0;0;1
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;1379;34;27;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;1364;25;27;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;1359;25;27;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;1378;26;28;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;1376;23;29;0;0;1
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;1372;26;27;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;1356;30;26;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;1348;22;26;0;0;2
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;1359;30;29;0;0;3
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;1399;34;26;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;1434;33;30;0;0;0
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;1445;23;29;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;1449;26;29;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;1436;24;29;0;0;0
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;1411;25;16;0;0;0
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;1186;34;24;0;0;0
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;1212;42;28;0;0;0
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;1219;37;24;0;0;1
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;1184;27;24;0;0;1
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;1245;22;31;0;0;1
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;1177;25;24;0;0;1
