# hostname;interval;timestamp;proc;cswch
pablolaptop.pegaso.lan;601;2024-05-14 13:00:01;1.04;3808.33
pablolaptop.pegaso.lan;601;2024-05-14 13:10:01;1.29;3138.12
pablolaptop.pegaso.lan;601;2024-05-14 13:20:02;0.85;2883.58
pablolaptop.pegaso.lan;601;2024-05-14 13:30:03;1.0;2547.63
pablolaptop.pegaso.lan;601;2024-05-14 13:40:03;1.31;3669.07
pablolaptop.pegaso.lan;601;2024-05-14 13:50:04;1.05;3178.96
pablolaptop.pegaso.lan;601;2024-05-14 14:00:04;0.74;2811.27
pablolaptop.pegaso.lan;601;2024-05-14 14:10:05;1.22;18710.62
pablolaptop.pegaso.lan;601;2024-05-14 14:20:06;0.87;19370.19
pablolaptop.pegaso.lan;601;2024-05-14 14:30:06;1.12;5979.29
pablolaptop.pegaso.lan;601;2024-05-14 14:40:07;1.15;3497.46
pablolaptop.pegaso.lan;601;2024-05-14 14:50:07;0.74;2296.38
pablolaptop.pegaso.lan;601;2024-05-14 15:00:08;0.38;942.97
pablolaptop.pegaso.lan;601;2024-05-14 15:10:09;0.96;1994.61
pablolaptop.pegaso.lan;601;2024-05-14 15:20:09;2.54;4588.06
pablolaptop.pegaso.lan;591;2024-05-14 15:30:00;1.03;3128.42
pablolaptop.pegaso.lan;601;2024-05-14 15:40:00;1.26;3388.27
pablolaptop.pegaso.lan;601;2024-05-14 15:50:01;1.18;3014.83
pablolaptop.pegaso.lan;601;2024-05-14 16:00:02;1.31;4309.96
pablolaptop.pegaso.lan;599;2024-05-14 16:10:01;1.43;4768.92
pablolaptop.pegaso.lan;602;2024-05-14 16:20:03;0.97;5317.12
pablolaptop.pegaso.lan;601;2024-05-14 16:30:04;0.95;3638.51
pablolaptop.pegaso.lan;601;2024-05-14 16:40:04;1.06;3881.93
pablolaptop.pegaso.lan;601;2024-05-14 16:50:05;1.35;3846.49
pablolaptop.pegaso.lan;601;2024-05-14 17:00:05;1.1;4538.21
pablolaptop.pegaso.lan;601;2024-05-14 17:10:06;1.22;4765.47
pablolaptop.pegaso.lan;601;2024-05-14 17:20:07;1.44;4372.17
pablolaptop.pegaso.lan;601;2024-05-14 17:30:07;2.39;5988.14
pablolaptop.pegaso.lan;601;2024-05-14 17:40:08;1.7;5685.96
pablolaptop.pegaso.lan;601;2024-05-14 17:50:08;1.28;3892.2
pablolaptop.pegaso.lan;601;2024-05-14 18:00:09;1.66;5129.97
pablolaptop.pegaso.lan;591;2024-05-14 18:10:00;1.82;3509.24
pablolaptop.pegaso.lan;601;2024-05-14 18:20:00;0.47;2170.67
pablolaptop.pegaso.lan;601;2024-05-14 18:30:01;0.45;1624.77
pablolaptop.pegaso.lan;601;2024-05-14 18:40:01;2.45;2702.43
pablolaptop.pegaso.lan;556;2024-05-14 19:00:03;3.04;2899.15
pablolaptop.pegaso.lan;597;2024-05-14 19:10:00;1.49;4393.51
pablolaptop.pegaso.lan;649;2024-05-14 19:20:49;1.25;5316.59
pablolaptop.pegaso.lan;600;2024-05-14 19:30:49;1.49;3696.12
pablolaptop.pegaso.lan;600;2024-05-14 19:40:49;1.36;12742.35
pablolaptop.pegaso.lan;600;2024-05-14 19:50:49;0.97;8130.76
